날짜,월세
2018-01-01,5.2308
2018-01-02,7.0665
2018-01-03,7.43386
2018-01-04,13.3651
2018-01-05,6.22683
2018-01-06,3.76673
2018-01-07,3.66391
2018-01-08,5.11513
2018-01-09,6.22469
2018-01-10,5.46213
2018-01-11,2.98596
2018-01-12,2.7075
2018-01-13,1.67719
2018-01-14,1.75538
2018-01-15,2.36157
2018-01-16,2.57791
2018-01-17,2.45046
2018-01-18,2.55328
2018-01-19,2.46653
2018-01-20,1.75859
2018-01-21,1.89461
2018-01-22,5.45571
2018-01-23,2.88743
2018-01-24,2.34872
2018-01-25,2.25125
2018-01-26,2.26625
2018-01-27,2.12595
2018-01-28,2.44082
2018-01-29,6.34143
2018-01-30,4.54321
2018-01-31,3.89953
2018-02-01,4.359
2018-02-02,3.80636
2018-02-03,2.77605
2018-02-04,2.62932
2018-02-05,6.2686
2018-02-06,4.55499
2018-02-07,4.29367
2018-02-08,4.29152
2018-02-09,4.73385
2018-02-10,2.93563
2018-02-11,2.43761
2018-02-12,4.16086
2018-02-13,3.80636
2018-02-14,2.76962
2018-02-15,1.69647
2018-02-16,1.57866
2018-02-17,1.50583
2018-02-18,1.8839
2018-02-19,3.35975
2018-02-20,2.66466
2018-02-21,2.52436
2018-02-22,3.09949
2018-02-23,2.72678
2018-02-24,1.7436
2018-02-25,1.73717
2018-02-26,3.22801
2018-02-27,2.78247
2018-02-28,2.38727
2018-03-01,2.25232
2018-03-02,2.4194
2018-03-03,1.73181
2018-03-04,2.11309
2018-03-05,2.51579
2018-03-06,2.43654
2018-03-07,2.49116
2018-03-08,2.11738
2018-03-09,1.84855
2018-03-10,1.69112
2018-03-11,1.87426
2018-03-12,1.93531
2018-03-13,2.03812
2018-03-14,2.04669
2018-03-15,1.86997
2018-03-16,1.9835
2018-03-17,1.71254
2018-03-18,1.93531
2018-03-19,1.93745
2018-03-20,1.83249
2018-03-21,1.84213
2018-03-22,1.89354
2018-03-23,1.75002
2018-03-24,1.49941
2018-03-25,1.62793
2018-03-26,1.93316
2018-03-27,1.76287
2018-03-28,1.79929
2018-03-29,1.7768
2018-03-30,1.77787
2018-03-31,1.38267
2018-04-01,1.49191
2018-04-02,1.71147
2018-04-03,1.78644
2018-04-04,1.66755
2018-04-05,1.78537
2018-04-06,1.67077
2018-04-07,1.33126
2018-04-08,1.38588
2018-04-09,1.67398
2018-04-10,1.68469
2018-04-11,1.614
2018-04-12,1.50048
2018-04-13,1.49298
2018-04-14,1.28306
2018-04-15,1.48441
2018-04-16,1.55617
2018-04-17,1.56581
2018-04-18,1.4887
2018-04-19,1.5551
2018-04-20,1.49191
2018-04-21,1.36017
2018-04-22,2.07347
2018-04-23,2.68608
2018-04-24,2.09167
2018-04-25,1.85926
2018-04-26,1.69861
2018-04-27,1.67077
2018-04-28,1.35803
2018-04-29,1.39552
2018-04-30,1.70504
2018-05-01,1.65899
2018-05-02,1.85177
2018-05-03,2.05526
2018-05-04,1.68255
2018-05-05,1.23165
2018-05-06,1.10528
2018-05-07,1.433
2018-05-08,1.76073
2018-05-09,1.71896
2018-05-10,1.75645
2018-05-11,1.77787
2018-05-12,1.48334
2018-05-13,1.50048
2018-05-14,1.6954
2018-05-15,1.64506
2018-05-16,1.59258
2018-05-17,1.56152
2018-05-18,1.70504
2018-05-19,1.43622
2018-05-20,1.3409
2018-05-21,1.74788
2018-05-22,1.50797
2018-05-23,2.01884
2018-05-24,2.03598
2018-05-25,2.07025
2018-05-26,1.42551
2018-05-27,1.31091
2018-05-28,1.75645
2018-05-29,1.73074
2018-05-30,1.73181
2018-05-31,1.64506
2018-06-01,1.67184
2018-06-02,1.43515
2018-06-03,1.54225
2018-06-04,1.81428
2018-06-05,1.61293
2018-06-06,1.33019
2018-06-07,1.62043
2018-06-08,1.6879
2018-06-09,1.29163
2018-06-10,1.42979
2018-06-11,1.69861
2018-06-12,1.55938
2018-06-13,1.35161
2018-06-14,1.79072
2018-06-15,1.6954
2018-06-16,1.27342
2018-06-17,1.33447
2018-06-18,1.55831
2018-06-19,1.56795
2018-06-20,1.75645
2018-06-21,1.61293
2018-06-22,1.36767
2018-06-23,1.24129
2018-06-24,1.02388
2018-06-25,1.61615
2018-06-26,1.79393
2018-06-27,1.67934
2018-06-28,1.36767
2018-06-29,1.44478
2018-06-30,1.18881
2018-07-01,1.05922
2018-07-02,1.44586
2018-07-03,1.45442
2018-07-04,1.47906
2018-07-05,1.52297
2018-07-06,1.74895
2018-07-07,1.34518
2018-07-08,1.35482
2018-07-09,1.71789
2018-07-10,1.98993
2018-07-11,1.72646
2018-07-12,1.82928
2018-07-13,2.20199
2018-07-14,1.57438
2018-07-15,1.84106
2018-07-16,2.30373
2018-07-17,2.26839
2018-07-18,2.49437
2018-07-19,2.73856
2018-07-20,2.47081
2018-07-21,1.98993
2018-07-22,1.97493
2018-07-23,2.80175
2018-07-24,2.76855
2018-07-25,2.66359
2018-07-26,2.64646
2018-07-27,2.56399
2018-07-28,1.76287
2018-07-29,1.88818
2018-07-30,2.58219
2018-07-31,2.47188
2018-08-01,2.32087
2018-08-02,2.34122
2018-08-03,2.20627
2018-08-04,1.70397
2018-08-05,2.04348
2018-08-06,3.22801
2018-08-07,3.29977
2018-08-08,3.06094
2018-08-09,2.82317
2018-08-10,3.06522
2018-08-11,2.18699
2018-08-12,2.40119
2018-08-13,3.1584
2018-08-14,2.78569
2018-08-15,2.59612
2018-08-16,3.24943
2018-08-17,3.09735
2018-08-18,2.36478
2018-08-19,2.84673
2018-08-20,3.65642
2018-08-21,3.66927
2018-08-22,3.87276
2018-08-23,3.48398
2018-08-24,3.09092
2018-08-25,2.75141
2018-08-26,3.04487
2018-08-27,3.84277
2018-08-28,4.10195
2018-08-29,3.67784
2018-08-30,3.89846
2018-08-31,3.61893
2018-09-01,3.02131
2018-09-02,3.5386
2018-09-03,5.13441
2018-09-04,4.91271
2018-09-05,3.77208
2018-09-06,6.46246
2018-09-07,6.61133
2018-09-08,5.56388
2018-09-09,8.80903
2018-09-10,12.95276
2018-09-11,13.07807
2018-09-12,12.74499
2018-09-13,9.72689
2018-09-14,9.42915
2018-09-15,3.02452
2018-09-16,2.93027
2018-09-17,3.61143
2018-09-18,2.16129
2018-09-19,2.11416
2018-09-20,1.91174
2018-09-21,1.71039
2018-09-22,1.20916
2018-09-23,1.15347
2018-09-24,1.13205
2018-09-25,1.16097
2018-09-26,1.48548
2018-09-27,1.82928
2018-09-28,1.73396
2018-09-29,1.30555
2018-09-30,1.34411
2018-10-01,1.68148
2018-10-02,1.69326
2018-10-03,1.45657
2018-10-04,1.75431
2018-10-05,1.61293
2018-10-06,1.38909
2018-10-07,1.36981
2018-10-08,1.63864
2018-10-09,1.29806
2018-10-10,1.75109
2018-10-11,1.57973
2018-10-12,1.69433
2018-10-13,1.42551
2018-10-14,1.51654
2018-10-15,1.85819
2018-10-16,2.59398
2018-10-17,1.90532
2018-10-18,1.6697
2018-10-19,2.04455
2018-10-20,1.79072
2018-10-21,1.54653
2018-10-22,1.8507
2018-10-23,1.96529
2018-10-24,2.00171
2018-10-25,1.84213
2018-10-26,2.03063
2018-10-27,1.41051
2018-10-28,1.35803
2018-10-29,2.12273
2018-10-30,2.1313
2018-10-31,1.89889
2018-11-01,1.89354
2018-11-02,2.08203
2018-11-03,1.55724
2018-11-04,1.5144
2018-11-05,2.10238
2018-11-06,2.13773
2018-11-07,2.22448
2018-11-08,2.64646
2018-11-09,3.4465
2018-11-10,2.49973
2018-11-11,3.02238
2018-11-12,17.47563
2018-11-13,3.16911
2018-11-14,2.35943
2018-11-15,2.94634
2018-11-16,4.36864
2018-11-17,3.21837
2018-11-18,2.70108
2018-11-19,3.20124
2018-11-20,2.88101
2018-11-21,2.95169
