날짜,월세
2018-01-01,3.8751
2018-01-02,7.48503
2018-01-03,9.08475
2018-01-04,6.34982
2018-01-05,6.50632
2018-01-06,5.67416
2018-01-07,5.58909
2018-01-08,7.96321
2018-01-09,11.13284
2018-01-10,5.39781
2018-01-11,4.01048
2018-01-12,4.06761
2018-01-13,3.49504
2018-01-14,3.52609
2018-01-15,3.96266
2018-01-16,4.48679
2018-01-17,7.54216
2018-01-18,4.15083
2018-01-19,3.80368
2018-01-20,2.77777
2018-01-21,2.65295
2018-01-22,3.88938
2018-01-23,4.14399
2018-01-24,5.3916
2018-01-25,4.98112
2018-01-26,3.44163
2018-01-27,2.69828
2018-01-28,2.75666
2018-01-29,3.97508
2018-01-30,4.32719
2018-01-31,3.93347
2018-02-01,4.50729
2018-02-02,4.20051
2018-02-03,3.07089
2018-02-04,3.09821
2018-02-05,8.0607
2018-02-06,10.46215
2018-02-07,5.15624
2018-02-08,4.29676
2018-02-09,4.71284
2018-02-10,4.86375
2018-02-11,4.07072
2018-02-12,6.06664
2018-02-13,6.22686
2018-02-14,5.3916
2018-02-15,2.92682
2018-02-16,2.32568
2018-02-17,2.34803
2018-02-18,2.99264
2018-02-19,5.52077
2018-02-20,5.16183
2018-02-21,4.58988
2018-02-22,5.58474
2018-02-23,4.30049
2018-02-24,2.92557
2018-02-25,2.74113
2018-02-26,4.8358
2018-02-27,4.00365
2018-02-28,3.75711
2018-03-01,3.84156
2018-03-02,4.62652
2018-03-03,2.78895
2018-03-04,3.70618
2018-03-05,4.5135
2018-03-06,3.95769
2018-03-07,3.76332
2018-03-08,3.39444
2018-03-09,2.92371
2018-03-10,2.58836
2018-03-11,2.75107
2018-03-12,3.40872
2018-03-13,3.21248
2018-03-14,3.34724
2018-03-15,3.23359
2018-03-16,2.98084
2018-03-17,2.97836
2018-03-18,3.25285
2018-03-19,3.07089
2018-03-20,2.89639
2018-03-21,3.0268
2018-03-22,2.83242
2018-03-23,2.7107
2018-03-24,2.40392
2018-03-25,2.63308
2018-03-26,2.99016
2018-03-27,2.58899
2018-03-28,2.61445
2018-03-29,2.59333
2018-03-30,2.5095
2018-03-31,2.13006
2018-04-01,2.3381
2018-04-02,2.68897
2018-04-03,2.54924
2018-04-04,2.57967
2018-04-05,2.51633
2018-04-06,2.39896
2018-04-07,1.98909
2018-04-08,2.21327
2018-04-09,2.56663
2018-04-10,2.8585
2018-04-11,2.59706
2018-04-12,2.52005
2018-04-13,2.36356
2018-04-14,2.00089
2018-04-15,2.11888
2018-04-16,2.49149
2018-04-17,2.37039
2018-04-18,2.40889
2018-04-19,2.44056
2018-04-20,2.3412
2018-04-21,1.97294
2018-04-22,2.21452
2018-04-23,2.56787
2018-04-24,2.35238
2018-04-25,2.35983
2018-04-26,2.23998
2018-04-27,2.0959
2018-04-28,2.00089
2018-04-29,1.92699
2018-04-30,2.92992
2018-05-01,2.40082
2018-05-02,2.83056
2018-05-03,2.57408
2018-05-04,2.26358
2018-05-05,1.69411
2018-05-06,1.74379
2018-05-07,2.13379
2018-05-08,2.49273
2018-05-09,2.68027
2018-05-10,2.67655
2018-05-11,2.69021
2018-05-12,2.14248
2018-05-13,2.32816
2018-05-14,2.86596
2018-05-15,2.67406
2018-05-16,2.54676
2018-05-17,2.66413
2018-05-18,3.28514
2018-05-19,2.08038
2018-05-20,1.94872
2018-05-21,2.34803
2018-05-22,2.37101
2018-05-23,3.91112
2018-05-24,2.72126
2018-05-25,2.57036
2018-05-26,2.02821
2018-05-27,2.18036
2018-05-28,2.5983
2018-05-29,2.47596
2018-05-30,2.58091
2018-05-31,2.44181
2018-06-01,2.45361
2018-06-02,2.06796
2018-06-03,2.0959
2018-06-04,2.5629
2018-06-05,2.36915
2018-06-06,2.11888
2018-06-07,2.43001
2018-06-08,2.59892
2018-06-09,2.04995
2018-06-10,2.18036
2018-06-11,2.5126
2018-06-12,2.31202
2018-06-13,2.16608
2018-06-14,2.56849
2018-06-15,2.4269
2018-06-16,1.90215
2018-06-17,2.1195
2018-06-18,2.27848
2018-06-19,2.26233
2018-06-20,2.45485
2018-06-21,2.35052
2018-06-22,2.20334
2018-06-23,1.89532
2018-06-24,1.7233
2018-06-25,2.47286
2018-06-26,2.3499
2018-06-27,2.30767
2018-06-28,2.00462
2018-06-29,2.7225
2018-06-30,1.8947
2018-07-01,1.91395
2018-07-02,2.19154
2018-07-03,2.16049
2018-07-04,2.29401
2018-07-05,2.29028
2018-07-06,2.30953
2018-07-07,1.85185
2018-07-08,2.17353
2018-07-09,2.80137
2018-07-10,2.73679
2018-07-11,2.56228
2018-07-12,2.82683
2018-07-13,2.81069
2018-07-14,2.22383
2018-07-15,2.6989
2018-07-16,3.38885
2018-07-17,3.5354
2018-07-18,3.7304
2018-07-19,3.91733
2018-07-20,3.43542
2018-07-21,2.57719
2018-07-22,2.83987
2018-07-23,3.96949
2018-07-24,3.45716
2018-07-25,3.49939
2018-07-26,3.47455
2018-07-27,3.16528
2018-07-28,2.53806
2018-07-29,2.75169
2018-07-30,3.68072
2018-07-31,3.64346
2018-08-01,3.5087
2018-08-02,3.29507
2018-08-03,3.00258
2018-08-04,2.47037
2018-08-05,2.7579
2018-08-06,3.62731
2018-08-07,3.82542
2018-08-08,3.65464
2018-08-09,3.63973
2018-08-10,3.30687
2018-08-11,2.70574
2018-08-12,3.06903
2018-08-13,4.10363
2018-08-14,3.85523
2018-08-15,3.80368
2018-08-16,4.48679
2018-08-17,4.15207
2018-08-18,3.32923
2018-08-19,3.97881
