날짜,월세
2021-01-01,25.21874
2021-01-02,26.78332
2021-01-03,19.24054
2021-01-04,32.52014
2021-01-05,22.50765
2021-01-06,19.80087
2021-01-07,19.56381
2021-01-08,65.22563
2021-01-09,13.5382
2021-01-10,16.25791
2021-01-11,22.59816
2021-01-12,12.90461
2021-01-13,11.2021
2021-01-14,11.37881
2021-01-15,10.1418
2021-01-16,8.52549
2021-01-17,8.9522
2021-01-18,11.58139
2021-01-19,10.85729
2021-01-20,12.77962
2021-01-21,13.04685
2021-01-22,13.38735
2021-01-23,9.31856
2021-01-24,8.741
2021-01-25,11.98224
2021-01-26,12.27533
2021-01-27,10.77108
2021-01-28,11.84862
2021-01-29,10.64609
2021-01-30,8.22378
2021-01-31,8.32722
2021-02-01,13.92612
2021-02-02,14.67609
2021-02-03,17.5251
2021-02-04,17.90871
2021-02-05,30.46851
2021-02-06,13.09857
2021-02-07,12.1374
2021-02-08,16.10275
2021-02-09,15.77949
2021-02-10,15.995
2021-02-11,11.86586
2021-02-12,8.0212
2021-02-13,8.19361
2021-02-14,9.19787
2021-02-15,20.3655
2021-02-16,19.76638
2021-02-17,15.9131
2021-02-18,17.36132
2021-02-19,14.35713
2021-02-20,9.4651
2021-02-21,9.70216
2021-02-22,18.63712
2021-02-23,18.25783
2021-02-24,13.75371
2021-02-25,14.96918
2021-02-26,11.05124
2021-02-27,9.31856
2021-02-28,8.81427
2021-03-01,12.11154
2021-03-02,16.58549
2021-03-03,12.49515
2021-03-04,11.58139
2021-03-05,10.31852
2021-03-06,7.84017
2021-03-07,8.57721
2021-03-08,11.24089
2021-03-09,10.46937
2021-03-10,10.6504
2021-03-11,11.48657
2021-03-12,9.94784
2021-03-13,7.91776
2021-03-14,7.76259
2021-03-15,9.67199
2021-03-16,9.35735
2021-03-17,9.30563
2021-03-18,8.98668
2021-03-19,8.30136
2021-03-20,6.89625
2021-03-21,8.10309
2021-03-22,9.31425
2021-03-23,9.06426
2021-03-24,8.72376
2021-03-25,8.06861
2021-03-26,8.68066
2021-03-27,6.40489
2021-03-28,7.80138
2021-03-29,9.43493
2021-03-30,8.80134
2021-03-31,8.4436
2021-04-01,8.09878
2021-04-02,7.41778
2021-04-03,5.9006
2021-04-04,6.77125
2021-04-05,8.42636
2021-04-06,8.71945
2021-04-07,8.01689
2021-04-08,7.91345
2021-04-09,7.44795
2021-04-10,6.36179
2021-04-11,6.98245
2021-04-12,8.5298
2021-04-13,7.75397
2021-04-14,7.7238
2021-04-15,7.65484
2021-04-16,7.6807
2021-04-17,6.10318
2021-04-18,6.20231
2021-04-19,7.79707
2021-04-20,7.41778
2021-04-21,7.38761
2021-04-22,7.41347
2021-04-23,7.37468
2021-04-24,5.45235
2021-04-25,6.21524
2021-04-26,8.40481
2021-04-27,7.76259
2021-04-28,7.36175
2021-04-29,7.81862
2021-04-30,8.10309
2021-05-01,5.78423
2021-05-02,5.90922
2021-05-03,9.21943
2021-05-04,8.59014
2021-05-05,6.40058
2021-05-06,7.93931
2021-05-07,7.17641
2021-05-08,5.56441
2021-05-09,6.46954
2021-05-10,9.04702
2021-05-11,8.08154
2021-05-12,8.55997
2021-05-13,8.05999
2021-05-14,7.43502
2021-05-15,5.41355
2021-05-16,6.66781
2021-05-17,9.19787
2021-05-18,7.87466
2021-05-19,7.03848
2021-05-20,8.59445
2021-05-21,7.77983
2021-05-22,5.98681
2021-05-23,6.77125
2021-05-24,9.00392
2021-05-25,8.27981
2021-05-26,8.17206
2021-05-27,8.06861
2021-05-28,7.24537
2021-05-29,6.00836
2021-05-30,6.47385
2021-05-31,9.35735
2021-06-01,8.37463
2021-06-02,8.20223
2021-06-03,7.31002
2021-06-04,8.04706
2021-06-05,5.91784
2021-06-06,7.32296
2021-06-07,8.96082
2021-06-08,9.02978
2021-06-09,8.74962
2021-06-10,8.1893
2021-06-11,8.05999
2021-06-12,5.81871
2021-06-13,6.08163
2021-06-14,8.02551
2021-06-15,7.79276
2021-06-16,7.96086
2021-06-17,7.81862
2021-06-18,7.81
2021-06-19,6.62902
2021-06-20,6.89194
2021-06-21,9.71078
2021-06-22,9.24098
2021-06-23,9.1677
2021-06-24,8.75824
2021-06-25,8.51256
2021-06-26,7.004
2021-06-27,7.31433
2021-06-28,9.37028
2021-06-29,8.76255
2021-06-30,9.29701
2021-07-01,8.84013
2021-07-02,8.67203
2021-07-03,6.77988
2021-07-04,7.64191
2021-07-05,11.48226
2021-07-06,9.74095
2021-07-07,8.84444
2021-07-08,11.08572
2021-07-09,10.07284
2021-07-10,7.05573
2021-07-11,8.00396
2021-07-12,12.33136
2021-07-13,11.7538
2021-07-14,12.35291
2021-07-15,12.6891
2021-07-16,11.4133
2021-07-17,8.52118
2021-07-18,9.00823
2021-07-19,12.34429
2021-07-20,10.88315
2021-07-21,10.71936
2021-07-22,10.46075
2021-07-23,10.85729
2021-07-24,7.8919
2021-07-25,8.72376
2021-07-26,10.49092
2021-07-27,10.31421
2021-07-28,10.38317
2021-07-29,9.93491
2021-07-30,8.56428
2021-07-31,6.6204
2021-08-01,7.65484
2021-08-02,11.59863
2021-08-03,12.57704
2021-08-04,12.19775
2021-08-05,10.38317
2021-08-06,9.31425
2021-08-07,7.31002
2021-08-08,8.38756
2021-08-09,10.71074
2021-08-10,11.43916
2021-08-11,11.84
2021-08-12,10.3099
2021-08-13,9.06857
2021-08-14,8.01258
2021-08-15,8.52118
2021-08-16,11.87017
2021-08-17,17.62855
2021-08-18,18.47334
2021-08-19,20.14568
2021-08-20,19.21468
2021-08-21,12.35722
2021-08-22,15.61139
2021-08-23,22.59385
2021-08-24,21.65854
2021-08-25,20.67152
2021-08-26,20.87841
2021-08-27,18.23197
2021-08-28,13.64596
2021-08-29,15.69328
2021-08-30,22.0206
2021-08-31,17.45614
2021-09-01,14.02956
2021-09-02,23.18865
2021-09-03,24.44722
2021-09-04,16.52083
2021-09-05,19.75776
2021-09-06,31.35209
2021-09-07,28.97719
2021-09-08,30.15387
2021-09-09,37.76992
2021-09-10,47.16607
2021-09-11,33.11926
2021-09-12,41.18787
2021-09-13,57.69147
2021-09-14,45.04547
2021-09-15,18.86556
2021-09-16,12.36584
2021-09-17,9.2927
2021-09-18,5.95663
2021-09-19,5.04719
2021-09-20,4.69376
2021-09-21,5.27994
2021-09-22,5.49976
2021-09-23,8.85737
2021-09-24,8.40481
2021-09-25,5.31873
2021-09-26,5.7713
2021-09-27,8.1893
2021-09-28,7.33589
2021-09-29,7.78845
2021-09-30,7.44364
2021-10-01,6.36179
2021-10-02,6.12904
2021-10-03,7.57725
2021-10-04,8.97806
2021-10-05,7.74966
2021-10-06,7.32296
2021-10-07,6.56006
2021-10-08,5.99974
2021-10-09,5.26701
2021-10-10,5.66354
2021-10-11,5.99543
2021-10-12,7.57725
2021-10-13,6.74108
2021-10-14,7.24106
2021-10-15,8.62462
2021-10-16,4.87478
2021-10-17,5.04288
2021-10-18,7.33589
2021-10-19,7.34451
2021-10-20,7.1721
2021-10-21,7.27123
2021-10-22,6.87039
2021-10-23,5.44373
2021-10-24,5.59027
2021-10-25,7.49536
2021-10-26,6.9609
2021-10-27,7.52553
